SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND,Rainfall_Category,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_5
Andaman & Nicobar Islands,1915,45,56.7,33.3,40.9,170.2,334.7,269,317.2,429.8,468.1,258.4,318,2741.3,101.7,244.4,1350.7,1044.5,Heavy Rainfall,2957.8,2365.8,2960.5,2761.366666666667,2774.14
Andaman & Nicobar Islands,1916,0,0,0,0.5,487.4,450.1,317.3,425,561.2,369.7,192.6,133.7,2937.5,0,487.9,1753.6,696,Heavy Rainfall,2741.3,2957.8,2365.8,2688.3,2742.52
Andaman & Nicobar Islands,1917,8,3.6,112,4.5,295.9,301.1,394.8,437.4,471.8,238.1,108.3,236.9,2612.4,11.6,412.4,1605.1,583.3,Heavy Rainfall,2937.5,2741.3,2957.8,2878.866666666667,2792.58
Andaman & Nicobar Islands,1918,77.4,6.9,11.4,10.7,729.3,710.8,200.9,455.4,303.3,227,366.9,175,3275,84.3,751.4,1670.4,768.9,Heavy Rainfall,2612.4,2937.5,2741.3,2763.7333333333336,2722.96
Andaman & Nicobar Islands,1919,10.2,18,0,35.5,283.9,542.5,246.5,259.8,170.7,186.2,340.4,258.4,2352.1,28.2,319.4,1219.5,785,Heavy Rainfall,3275,2612.4,2937.5,2941.633333333333,2904.8
Andaman & Nicobar Islands,1920,122.3,7.4,3.1,13,237.4,546.9,294.4,467.4,505.4,397.5,262.9,85.5,2943.2,129.7,253.5,1814.1,745.9,Heavy Rainfall,2352.1,3275,2612.4,2746.5,2783.66
Andaman & Nicobar Islands,1921,13.2,3.1,0,37.5,351.2,282.7,487.1,330,581.2,360.7,118.2,41.5,2606.4,16.3,388.7,1681,520.4,Heavy Rainfall,2943.2,2352.1,3275,2856.7666666666664,2824.04
Andaman & Nicobar Islands,1922,245.3,34.3,15.6,323.1,289.7,506.1,425.8,307.4,511.7,162,541,192.2,3554.2,279.6,628.4,1751,895.2,Heavy Rainfall,2606.4,2943.2,2352.1,2633.9,2757.82
Andaman & Nicobar Islands,1923,79.5,0,27.412912482066,91.3,293.5,808.4,636.9,182.2,560.5,131.9,197.4,70.6,1409.4492071119655,79.5,155.82091409428094,2188,399.9,Normal,3554.2,2606.4,2943.2,3034.6,2946.18
Andaman & Nicobar Islands,1924,28.7,0,14.8,89.7,191.2,261.2,493.3,290.9,251.2,331.1,378.6,18.968645284825275,1409.4492071119655,28.7,295.7,1296.6,153.64862275449102,Normal,1409.4492071119655,3554.2,2606.4,2523.3497357039887,2573.069841422393
